Data;Hora;Turno;IBUTG (Int.);IBUTG (Ext.);TA;TG;TBU;Ponto de orvalho;UR;;;
16/01/2020;13:48:00;dia;37,4 °C; 37,3 °C; 48,3 °C; 49,7 °C; 32,2 °C; 26,7 °C;30,80%;;;
16/01/2020;13:49:59;dia;37,2 °C; 37,1 °C; 48,1 °C; 49,1 °C; 32,1 °C; 26,7 °C;31,20%;;;
16/01/2020;13:51:59;dia;37,1 °C; 37,0 °C; 47,9 °C; 48,7 °C; 32,1 °C; 26,7 °C;31,50%;;;
16/01/2020;13:53:59;dia;37,0 °C; 37,0 °C; 47,7 °C; 48,3 °C; 32,2 °C; 27,1 °C;32,50%;;;
16/01/2020;13:55:59;dia;36,3 °C; 36,2 °C; 46,7 °C; 48,0 °C; 31,3 °C; 25,9 °C;31,90%;;;
16/01/2020;13:57:59;dia;34,6 °C; 34,2 °C; 42,0 °C; 45,9 °C; 29,8 °C; 25,4 °C;39,50%;;;
16/01/2020;13:59:59;dia;34,3 °C; 33,7 °C; 40,5 °C; 45,9 °C; 29,3 °C; 25,2 °C;42,30%;;;
16/01/2020;14:01:59;dia;34,0 °C; 33,4 °C; 39,2 °C; 44,9 °C; 29,3 °C; 25,8 °C;47,00%;;;
16/01/2020;14:03:59;dia;34,4 °C; 33,8 °C; 39,7 °C; 45,4 °C; 29,7 °C; 26,2 °C;46,80%;;;
16/01/2020;14:05:59;dia;33,7 °C; 33,3 °C; 39,8 °C; 43,5 °C; 29,5 °C; 25,9 °C;45,80%;;;
16/01/2020;14:07:59;dia;33,6 °C; 33,3 °C; 39,9 °C; 42,7 °C; 29,7 °C; 26,2 °C;46,30%;;;
16/01/2020;14:09:59;dia;33,2 °C; 33,0 °C; 39,0 °C; 41,7 °C; 29,6 °C; 26,3 °C;49,00%;;;
16/01/2020;14:11:59;dia;32,8 °C; 32,6 °C; 38,3 °C; 40,3 °C; 29,6 °C; 26,6 °C;51,70%;;;
16/01/2020;14:13:59;dia;32,5 °C; 32,3 °C; 37,9 °C; 39,5 °C; 29,5 °C; 26,7 °C;53,20%;;;
16/01/2020;14:15:59;dia;31,9 °C; 31,7 °C; 36,7 °C; 38,8 °C; 28,9 °C; 26,2 °C;55,00%;;;
16/01/2020;14:17:59;dia;32,2 °C; 32,1 °C; 37,3 °C; 38,6 °C; 29,5 °C; 26,8 °C;55,30%;;;
16/01/2020;14:19:59;dia;31,9 °C; 31,7 °C; 36,7 °C; 38,1 °C; 29,2 °C; 26,6 °C;56,30%;;;
16/01/2020;14:21:59;dia;32,2 °C; 32,0 °C; 37,4 °C; 38,8 °C; 29,3 °C; 26,5 °C;54,00%;;;
16/01/2020;14:23:59;dia;31,7 °C; 31,4 °C; 36,5 °C; 38,9 °C; 28,6 °C; 25,8 °C;54,30%;;;
16/01/2020;14:25:59;dia;32,0 °C; 31,9 °C; 37,3 °C; 38,6 °C; 29,2 °C; 26,4 °C;53,80%;;;
16/01/2020;14:27:59;dia;32,3 °C; 32,0 °C; 37,2 °C; 39,4 °C; 29,2 °C; 26,4 °C;54,20%;;;
16/01/2020;14:29:59;dia;33,2 °C; 32,7 °C; 37,3 °C; 42,9 °C; 29,1 °C; 26,3 °C;53,60%;;;
16/01/2020;14:31:59;dia;33,9 °C; 33,2 °C; 37,7 °C; 44,5 °C; 29,3 °C; 26,4 °C;52,70%;;;
16/01/2020;14:33:59;dia;33,5 °C; 32,7 °C; 37,4 °C; 45,4 °C; 28,4 °C; 25,1 °C;49,70%;;;
